Scan performed on 11-28-2016 09:39:23
WARNING: /home/datboi/HybrIDS/.hybrids.py.swp removed from file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/index.log removed from file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/thumbnails/c0d987b265d7cbe66eeb4182f0482c35.png removed from file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/thumbnails/1bc396c15afe166af52db99916e9d8f2.png removed from file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/thumbnails/5b62bc85a038a23822bc151c135758b6.png removed from file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/thumbnails/c63312913c6d5068767115d0e22810e1.png removed from file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/saved-telemetry-pings/27ddb3d9-bef4-4cfc-9dea-99e59a339166 removed from file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/saved-telemetry-pings/9ead99ed-24cf-4e16-855c-8058556c0a56 removed from file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/thumbnails/521f9b53e04975e216851e4e7c2b4beb.png removed from file system!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/sessionstore.js removed from file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/thumbnails/42ebbe36d9386ddd511f6ad9ef35e6ff.png removed from file system!!

WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/14606BE4E98B69E1B9F436513AF769DDB6F92271 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/0694B3042F78457BB09453B268060A4CF1B2B6C3 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/37AB8D5B86BFCA155265F53EAB04B152B76FEA27 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/FC301D40D70ABD8C8BB3B7242218A8A35524677A added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/399137D73C260856099D44784B01BA17A5CE6473 added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/6A126CF42AF2342234D76C350615295447BE658F added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/3F2B7620D3ED7129A16D30BEA70B83C71437731C added to file system!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/597209AC62F83FD82029F21C506031D706E8E07F added to file system!!
